course,specialization,interests,skills,combined,course_spec,career
b.com,accountancy,financial analysis,"accounting skills, analytic thinking, cost accounting, team work, excel, problem solving skills, writing, tableau","b.com accountancy financial analysis accounting skills, analytic thinking, cost accounting, team work, excel, problem solving skills, writing, tableau",b.com accountancy,accountant
be,automobile engineering,"take risk for profits, technology, entrepreneurship","analytic thinking, gathering informing, communication skills, team work, presentation skills, problem solving skills","be automobile engineering take risk for profits, technology, entrepreneurship analytic thinking, gathering informing, communication skills, team work, presentation skills, problem solving skills",be automobile engineering,automobile engineer
mba,marketing,"sales/marketing;trading;understand human behaviour;digital marketing;market reserach;agriculture, services;construction manegement",accounting skills;business knowledge;leadership;problem solving skills;wealth management,"mba marketing sales/marketing;trading;understand human behaviour;digital marketing;market reserach;agriculture, services;construction manegement accounting skills;business knowledge;leadership;problem solving skills;wealth management",mba marketing,marketing manager
be,automation,data analytics,critical thinking;gathering information;presentation skills;python;sql;good communication skills,be automation data analytics critical thinking;gathering information;presentation skills;python;sql;good communication skills,be automation,other
bca,computer applications,technology,communication skills;writing skills;c++;python;sql;java;cloud computing,bca computer applications technology communication skills;writing skills;c++;python;sql;java;cloud computing,bca computer applications,software developer
be,"science,maths, engineering subject",research;technology;data analytics;govt. job,analytical skills;data visualization skills( power bi/ tableau );machine learning skills;python;sql,"be science,maths, engineering subject research;technology;data analytics;govt. job analytical skills;data visualization skills( power bi/ tableau );machine learning skills;python;sql","be science,maths, engineering subject",other
b.tech,computer science engineering,financial analysis;research;data analytics;data scientist,programming language skills;critical thinking;gathering information;leadership;machine learning skills;python;artificial intelligence;sql;java;matlab;good communication skills,b.tech computer science engineering financial analysis;research;data analytics;data scientist programming language skills;critical thinking;gathering information;leadership;machine learning skills;python;artificial intelligence;sql;java;matlab;good communication skills,b.tech computer science engineering,software engineer
be,mechanical engineering,entrepreneurship,"python, critical thinking, analytic thinking, gathering informing, sql, programming, leadership, product knowledge, cost accounting, market study, team work, excel, logical skills, r, problem solving skills, writing, tableau","be mechanical engineering entrepreneurship python, critical thinking, analytic thinking, gathering informing, sql, programming, leadership, product knowledge, cost accounting, market study, team work, excel, logical skills, r, problem solving skills, writing, tableau",be mechanical engineering,engineer
b.tech,electrical and electronics engineering,technology,matlab ;embedded c; arduino; c ++;c ;avr;eagle pcb;arm cortex-m;kicad;software project management,b.tech electrical and electronics engineering technology matlab ;embedded c; arduino; c ++;c ;avr;eagle pcb;arm cortex-m;kicad;software project management,b.tech electrical and electronics engineering,engineer
be,structural engineeeing,research;teaching;technology;data analytics,"active listening;critical thinking;analytical skills;people management;communication skills;leadership;problem solving skills;designing skills;proeficiency in software like staad pro, etabs","be structural engineeeing research;teaching;technology;data analytics active listening;critical thinking;analytical skills;people management;communication skills;leadership;problem solving skills;designing skills;proeficiency in software like staad pro, etabs",be structural engineeeing,other
m.tech,mining,teaching;technology;industires,hardware skills,m.tech mining teaching;technology;industires hardware skills,m.tech mining,other
b.tech,computer science engineering,financial analysis;research;sales/marketing;technology;data analytics,business knowledge;analytical skills;product knowledge;problem solving skills;risk management skills;designing skills;machine learning skills;python;sql;cloud computing;hr,b.tech computer science engineering financial analysis;research;sales/marketing;technology;data analytics business knowledge;analytical skills;product knowledge;problem solving skills;risk management skills;designing skills;machine learning skills;python;sql;cloud computing;hr,b.tech computer science engineering,software engineer
b.tech,mechanical engineering,technology;all fields related to data science.;industires;information technology,"proeficiency in software like staad pro, etabs;cad/cae(autocad/catia/ansys/proe/seimensnx)","b.tech mechanical engineering technology;all fields related to data science.;industires;information technology proeficiency in software like staad pro, etabs;cad/cae(autocad/catia/ansys/proe/seimensnx)",b.tech mechanical engineering,mechanical engineer
b.com,accountancy,financial analysis;news coverage;research;sales/marketing;social justice;teaching;technology;trading;understand human behaviour;understand human body;supply chain analysis;data analytics;govt. job;game industry;digital marketing,accounting skills;active listening;critical thinking;gathering information;business knowledge;analytical skills;finance related skills;people management;communication skills;negotiation skills;mass communication;leadership;product knowledge;problem solving skills;risk management skills;data visualization skills( power bi/ tableau );sales;interpersonal skills;wealth management,b.com accountancy financial analysis;news coverage;research;sales/marketing;social justice;teaching;technology;trading;understand human behaviour;understand human body;supply chain analysis;data analytics;govt. job;game industry;digital marketing accounting skills;active listening;critical thinking;gathering information;business knowledge;analytical skills;finance related skills;people management;communication skills;negotiation skills;mass communication;leadership;product knowledge;problem solving skills;risk management skills;data visualization skills( power bi/ tableau );sales;interpersonal skills;wealth management,b.com accountancy,accountant
bca,c language,technology;service,programming language skills;communication skills;writing skills;machine learning skills;sales;c++;r,bca c language technology;service programming language skills;communication skills;writing skills;machine learning skills;sales;c++;r,bca c language,other
bca,"c,c++, java",teaching,active listening;teaching,"bca c,c++, java teaching active listening;teaching","bca c,c++, java",other
b.tech,civil engineering,market reserach,business knowledge;civil & criminal law;product knowledge,b.tech civil engineering market reserach business knowledge;civil & criminal law;product knowledge,b.tech civil engineering,civil engineer
b.tech,mechanical engineering,design,critical thinking;problem solving skills;designing skills;interpersonal skills;python,b.tech mechanical engineering design critical thinking;problem solving skills;designing skills;interpersonal skills;python,b.tech mechanical engineering,mechanical engineer
bba,management,financial analysis,strategic planning;financial analysis;financial modeling;marketing strategy;financial services,bba management financial analysis strategic planning;financial analysis;financial modeling;marketing strategy;financial services,bba management,business analyst
be,automobile engineering,"financial analysis, sales/marketing, technology, entrepreneurship","business knowledge, people management, communication skills, work under pressure, leadership, market study, team work, interpersonal skills, presentation skills, designing skills, sales, design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble","be automobile engineering financial analysis, sales/marketing, technology, entrepreneurship business knowledge, people management, communication skills, work under pressure, leadership, market study, team work, interpersonal skills, presentation skills, designing skills, sales, design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",be automobile engineering,automobile engineer
be,electronics and communication engineering,embedded design,"creativity skills, excel, logical skills, observation skills, risk managing, designing skills, vlsi design,simulation,embedded,iot","be electronics and communication engineering embedded design creativity skills, excel, logical skills, observation skills, risk managing, designing skills, vlsi design,simulation,embedded,iot",be electronics and communication engineering,electronics and communication engineer
b.tech,computer science engineering,research,"python, critical thinking, analytic thinking, java, sql, programming, communication skills, negotiation skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, c++","b.tech computer science engineering research python, critical thinking, analytic thinking, java, sql, programming, communication skills, negotiation skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, c++",b.tech computer science engineering,software engineer
be,electronics and communication engineering,technology,no,be electronics and communication engineering technology no,be electronics and communication engineering,electronics and communication engineer
b.com,sales and marketing,sales/marketing,active listening;business knowledge;communication skills;negotiation skills;leadership;product knowledge;problem solving skills;sales;interpersonal skills,b.com sales and marketing sales/marketing active listening;business knowledge;communication skills;negotiation skills;leadership;product knowledge;problem solving skills;sales;interpersonal skills,b.com sales and marketing,marketing executive
b.com,economics,sales/marketing,business knowledge,b.com economics sales/marketing business knowledge,b.com economics,other
b.tech,computer science engineering,software job,no,b.tech computer science engineering software job no,b.tech computer science engineering,software engineer
b.tech,computer science engineering,financial analysis;technology;trading;data analytics,business knowledge;analytical skills;negotiation skills;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;sql,b.tech computer science engineering financial analysis;technology;trading;data analytics business knowledge;analytical skills;negotiation skills;problem solving skills;data visualization skills( power bi/ tableau );machine learning skills;sql,b.tech computer science engineering,software engineer
be,mechanical engineering,trading,active listening;business knowledge;risk management skills;sales;good communication skills,be mechanical engineering trading active listening;business knowledge;risk management skills;sales;good communication skills,be mechanical engineering,engineer
b.tech,computer science and business system,financial analysis;technology;web designing;web development;social causes,accounting skills;programming language skills;critical thinking;business knowledge;analytical skills;finance related skills;communication skills;problem solving skills;c++;python;sql,b.tech computer science and business system financial analysis;technology;web designing;web development;social causes accounting skills;programming language skills;critical thinking;business knowledge;analytical skills;finance related skills;communication skills;problem solving skills;c++;python;sql,b.tech computer science and business system,software engineer
b.pharmacy,pharmacy,research,"active listening, creativity skills, team work, logical skills","b.pharmacy pharmacy research active listening, creativity skills, team work, logical skills",b.pharmacy pharmacy,pharmacist
b.com,commerce,financial analysis,"accounting skills, cost accounting","b.com commerce financial analysis accounting skills, cost accounting",b.com commerce,accountant
b.sc,interior design,home interior design,programming language skills;people management;mass communication;leadership;designing skills;writing skills;architecture,b.sc interior design home interior design programming language skills;people management;mass communication;leadership;designing skills;writing skills;architecture,b.sc interior design,designer
b.com,commerce,take risk for profits,"business knowledge, product knowledge, team work, sales","b.com commerce take risk for profits business knowledge, product knowledge, team work, sales",b.com commerce,accountant
b.tech,information technology,entrepreneurship,"gathering informing, people management, communication skills, work under pressure, leadership, team work, interpersonal skills, mass communication, observation skills, risk managing","b.tech information technology entrepreneurship gathering informing, people management, communication skills, work under pressure, leadership, team work, interpersonal skills, mass communication, observation skills, risk managing",b.tech information technology,software engineer
b.sc,chemistry,government jobs,sports,b.sc chemistry government jobs sports,b.sc chemistry,chemist
bca,computer applications,technology,"ai, ml, python, java, sql, tableau","bca computer applications technology ai, ml, python, java, sql, tableau",bca computer applications,software developer
be,automobile engineering,"research, take risk for profits, understand human behaviour","critical thinking, analytic thinking, product knowledge, team work, excel, observation skills, risk managing, reporting, reading, designing skills","be automobile engineering research, take risk for profits, understand human behaviour critical thinking, analytic thinking, product knowledge, team work, excel, observation skills, risk managing, reporting, reading, designing skills",be automobile engineering,automobile engineer
b.tech,electrical and electronics engineering,"information technology,blockchain","docker;kubernetes;amazon web services (aws);bash;apache;
new relic apm;jenkins;internet information services (iis);terraform;aks;continuous integration and continuous delivery (ci/cd);amazon ec2","b.tech electrical and electronics engineering information technology,blockchain docker;kubernetes;amazon web services (aws);bash;apache;
new relic apm;jenkins;internet information services (iis);terraform;aks;continuous integration and continuous delivery (ci/cd);amazon ec2",b.tech electrical and electronics engineering,engineer
b.tech,computer science engineering,software job,"full stack, java, python, reactjs","b.tech computer science engineering software job full stack, java, python, reactjs",b.tech computer science engineering,software engineer
be,mechanical engineering,supply chain analysis;data scientist;machine learning;excel,active listening;analytical skills;negotiation skills;product knowledge;problem solving skills;risk management skills;machine learning skills;python,be mechanical engineering supply chain analysis;data scientist;machine learning;excel active listening;analytical skills;negotiation skills;product knowledge;problem solving skills;risk management skills;machine learning skills;python,be mechanical engineering,engineer
b.tech,computer science engineering,software job,"web development (php, codeigniter), java development, graphic desiging, android app development","b.tech computer science engineering software job web development (php, codeigniter), java development, graphic desiging, android app development",b.tech computer science engineering,software engineer
b.tech,mechanical engineering,trading;data analytics;govt. job;data scientist,data visualization skills( power bi/ tableau );python;sql,b.tech mechanical engineering trading;data analytics;govt. job;data scientist data visualization skills( power bi/ tableau );python;sql,b.tech mechanical engineering,mechanical engineer
b.com,commerce,financial analysis,accounting skills;active listening;critical thinking;gathering information;artistic/creative skills;business knowledge;communication skills;social media marketing,b.com commerce financial analysis accounting skills;active listening;critical thinking;gathering information;artistic/creative skills;business knowledge;communication skills;social media marketing,b.com commerce,accountant
b.sc,physics,technology,"accounting skills, active listening, ai, python, critical thinking, programming, product knowledge, creativity skills, team work, excel, logical skills, presentation skills, problem solving skills, observation skills, risk managing, reading","b.sc physics technology accounting skills, active listening, ai, python, critical thinking, programming, product knowledge, creativity skills, team work, excel, logical skills, presentation skills, problem solving skills, observation skills, risk managing, reading",b.sc physics,research scientist
b.tech,mechanical engineering,technology;industires,cad/cae(autocad/catia/ansys/proe/seimensnx),b.tech mechanical engineering technology;industires cad/cae(autocad/catia/ansys/proe/seimensnx),b.tech mechanical engineering,mechanical engineer
m.tech,electronics and communication engineering,research;sales/marketing;teaching;technology;web designing;content writing;data analytics;digital marketing;data scientist;web development;market reserach;social media marketing;gardening;service;design;information technology;machine learning;excel,programming language skills;analytical skills;communication skills;leadership;editing;problem solving skills;designing skills;writing skills;machine learning skills;sales;social media marketing;r;python;artificial intelligence;sql;architecture;matlab;good communication skills;teaching;aws;php;programming language c;javascript,m.tech electronics and communication engineering research;sales/marketing;teaching;technology;web designing;content writing;data analytics;digital marketing;data scientist;web development;market reserach;social media marketing;gardening;service;design;information technology;machine learning;excel programming language skills;analytical skills;communication skills;leadership;editing;problem solving skills;designing skills;writing skills;machine learning skills;sales;social media marketing;r;python;artificial intelligence;sql;architecture;matlab;good communication skills;teaching;aws;php;programming language c;javascript,m.tech electronics and communication engineering,electronics and communication engineer
b.sc,statistics,data analytics,critical thinking;analytical skills;leadership;problem solving skills;machine learning skills;python,b.sc statistics data analytics critical thinking;analytical skills;leadership;problem solving skills;machine learning skills;python,b.sc statistics,data analyst
b.tech,computer science engineering,it field,"python, java, sql, programming, problem solving skills","b.tech computer science engineering it field python, java, sql, programming, problem solving skills",b.tech computer science engineering,software engineer
b.sc,information technalogy,"research, technology","active listening, ai, ml, python, analytic thinking, editing, creativity skills, team work, c++, problem solving skills, mass communication","b.sc information technalogy research, technology active listening, ai, ml, python, analytic thinking, editing, creativity skills, team work, c++, problem solving skills, mass communication",b.sc information technalogy,software engineer
b.com,commerce,blockchain,artistic/creative skills,b.com commerce blockchain artistic/creative skills,b.com commerce,accountant
be,industrial engineering,financial analysis;research;trading;understand human behaviour;understand human body;data analytics;data scientist;gardening,critical thinking;gathering information;business knowledge;analytical skills;finance related skills;people management;civil & criminal law;communication skills;negotiation skills;leadership;product knowledge;problem solving skills;risk management skills;data visualization skills( power bi/ tableau );machine learning skills;interpersonal skills;python;sql,be industrial engineering financial analysis;research;trading;understand human behaviour;understand human body;data analytics;data scientist;gardening critical thinking;gathering information;business knowledge;analytical skills;finance related skills;people management;civil & criminal law;communication skills;negotiation skills;leadership;product knowledge;problem solving skills;risk management skills;data visualization skills( power bi/ tableau );machine learning skills;interpersonal skills;python;sql,be industrial engineering,engineer
b.tech,mechanical engineering,technology;supply chain analysis,business knowledge;negotiation skills;product knowledge;sales,b.tech mechanical engineering technology;supply chain analysis business knowledge;negotiation skills;product knowledge;sales,b.tech mechanical engineering,mechanical engineer
diploma,high pressure die casting,technology,designing skills,diploma high pressure die casting technology designing skills,diploma high pressure die casting,other
b.com,accounting&finance,financial analysis,company law;company secretarial work;due diligence;corporate law;industrial and labour law;company law;corporate social responsibility;public company compliance;statutory compliances;regulatory compliance,b.com accounting&finance financial analysis company law;company secretarial work;due diligence;corporate law;industrial and labour law;company law;corporate social responsibility;public company compliance;statutory compliances;regulatory compliance,b.com accounting&finance,accountant
b.tech,computer science engineering,research;technology;data analytics;design,active listening;programming language skills;communication skills;client management;good communication skills,b.tech computer science engineering research;technology;data analytics;design active listening;programming language skills;communication skills;client management;good communication skills,b.tech computer science engineering,software engineer
b.tech,computer science engineering,teaching;technology;web designing,active listening;programming language skills;gathering information;mass communication;content creation,b.tech computer science engineering teaching;technology;web designing active listening;programming language skills;gathering information;mass communication;content creation,b.tech computer science engineering,software engineer
b.e,information technology,"technology, understand human behaviour, understand human body","analytic thinking, gathering informing, sql, risk managing","b.e information technology technology, understand human behaviour, understand human body analytic thinking, gathering informing, sql, risk managing",b.e information technology,software engineer
b.sc,computer science,technology;data analytics;data scientist;all fields related to data science.,analytical skills;data visualization skills( power bi/ tableau );python;sql,b.sc computer science technology;data analytics;data scientist;all fields related to data science. analytical skills;data visualization skills( power bi/ tableau );python;sql,b.sc computer science,data analyst
b.sc,computer science,digital marketing;market reserach,business knowledge;analytical skills;people management;communication skills;leadership;product knowledge;problem solving skills;risk management skills;designing skills;writing skills;data visualization skills( power bi/ tableau );presentation skills;sql;hospitality;hr;excel,b.sc computer science digital marketing;market reserach business knowledge;analytical skills;people management;communication skills;leadership;product knowledge;problem solving skills;risk management skills;designing skills;writing skills;data visualization skills( power bi/ tableau );presentation skills;sql;hospitality;hr;excel,b.sc computer science,data analyst
b.tech,mathematics,"teaching, technology","analytic thinking, logical skills, c++, writing","b.tech mathematics teaching, technology analytic thinking, logical skills, c++, writing",b.tech mathematics,data analyst
bca,computer applications,technology,active listening;negotiation skills,bca computer applications technology active listening;negotiation skills,bca computer applications,software developer
b.tech,information technology,technology,"java, sql, programming","b.tech information technology technology java, sql, programming",b.tech information technology,software engineer
b.tech,electrical and electronics engineering,software job,stack web development,b.tech electrical and electronics engineering software job stack web development,b.tech electrical and electronics engineering,engineer
be,electrical and electronics engineering,all fields related to data science.;machine learning;sports industry,programming language skills;business knowledge;analytical skills;communication skills;python;sql,be electrical and electronics engineering all fields related to data science.;machine learning;sports industry programming language skills;business knowledge;analytical skills;communication skills;python;sql,be electrical and electronics engineering,engineer
b.tech,computer science engineering,data scientist;machine learning,programming language skills;data visualization skills( power bi/ tableau );machine learning skills;c++;r;linux;python;artificial intelligence;sql;java,b.tech computer science engineering data scientist;machine learning programming language skills;data visualization skills( power bi/ tableau );machine learning skills;c++;r;linux;python;artificial intelligence;sql;java,b.tech computer science engineering,software engineer
b.com,accounting(business and management),financial analysis;research;sales/marketing;digital marketing,critical thinking;business knowledge;communication skills;negotiation skills;artificial intelligence,b.com accounting(business and management) financial analysis;research;sales/marketing;digital marketing critical thinking;business knowledge;communication skills;negotiation skills;artificial intelligence,b.com accounting(business and management),accountant
mba,sales and marketing,sales/marketing,business knowledge;people management;communication skills;product knowledge;sales;social media marketing,mba sales and marketing sales/marketing business knowledge;people management;communication skills;product knowledge;sales;social media marketing,mba sales and marketing,marketing executive
b.tech,civil engineering,"product life cycle management,",agile methodologies;usability testing;c++;microsoft officebentley inroadsproduct requirements;user stories;metrics;product management;product innovation;user experience (ux);research;business development;digital marketing;,"b.tech civil engineering product life cycle management, agile methodologies;usability testing;c++;microsoft officebentley inroadsproduct requirements;user stories;metrics;product management;product innovation;user experience (ux);research;business development;digital marketing;",b.tech civil engineering,civil engineer
b.tech,electrical and electronics engineering,technology,power electronics;simulink;inverters;matlab;plc;variable frequency drives;switchgear;industrial control,b.tech electrical and electronics engineering technology power electronics;simulink;inverters;matlab;plc;variable frequency drives;switchgear;industrial control,b.tech electrical and electronics engineering,engineer
b.sc,computer science,technology;data analytics,programming language skills;people management;communication skills;editing;c++;sql,b.sc computer science technology;data analytics programming language skills;people management;communication skills;editing;c++;sql,b.sc computer science,data analyst
b.tech,computer science engineering,web development,active listening;hardware skills;programming language skills;critical thinking;gathering information,b.tech computer science engineering web development active listening;hardware skills;programming language skills;critical thinking;gathering information,b.tech computer science engineering,software engineer
b.tech,computer science engineering,technology;supply chain analysis,analytical skills;machine learning skills;python;artificial intelligence;sql,b.tech computer science engineering technology;supply chain analysis analytical skills;machine learning skills;python;artificial intelligence;sql,b.tech computer science engineering,software engineer
be,civil engineering,financial analysis;data analytics;home interior design;all fields related to data science.;construction;construction manegement;project management,gathering information;people management;communication skills;problem solving skills;sales;python;javascript;construction management,be civil engineering financial analysis;data analytics;home interior design;all fields related to data science.;construction;construction manegement;project management gathering information;people management;communication skills;problem solving skills;sales;python;javascript;construction management,be civil engineering,engineer
law hons,statistics,understand human behaviour,active listening;people management;civil & criminal law;negotiation skills;machine learning skills,law hons statistics understand human behaviour active listening;people management;civil & criminal law;negotiation skills;machine learning skills,law hons statistics,data analyst
b.tech,criminal manual,"research, sales/marketing, technology, entrepreneurship","analytic thinking, product knowledge, team work, logical skills","b.tech criminal manual research, sales/marketing, technology, entrepreneurship analytic thinking, product knowledge, team work, logical skills",b.tech criminal manual,other
b.tech,mechanical engineering,research;technology;supply chain analysis;govt. job,active listening;hardware skills;critical thinking;gathering information;artistic/creative skills;people management;communication skills;negotiation skills;mass communication;leadership;editing;product knowledge;problem solving skills;risk management skills;writing skills;social media marketing;presentation skills;hospitality;hr;client management,b.tech mechanical engineering research;technology;supply chain analysis;govt. job active listening;hardware skills;critical thinking;gathering information;artistic/creative skills;people management;communication skills;negotiation skills;mass communication;leadership;editing;product knowledge;problem solving skills;risk management skills;writing skills;social media marketing;presentation skills;hospitality;hr;client management,b.tech mechanical engineering,mechanical engineer
b.tech,electrical and electronics engineering,research;teaching;technology;trading,accounting skills;active listening;communication skills;product knowledge;problem solving skills,b.tech electrical and electronics engineering research;teaching;technology;trading accounting skills;active listening;communication skills;product knowledge;problem solving skills,b.tech electrical and electronics engineering,engineer
be,electrical and electronics engineering,research;teaching;technology;trading;understand human behaviour;understand human body;data scientist;market reserach;social media marketing;industires,programming language skills;critical thinking;analytical skills;problem solving skills;python;medical knowledge;matlab;teaching,be electrical and electronics engineering research;teaching;technology;trading;understand human behaviour;understand human body;data scientist;market reserach;social media marketing;industires programming language skills;critical thinking;analytical skills;problem solving skills;python;medical knowledge;matlab;teaching,be electrical and electronics engineering,engineer
b.tech,mechanical engineering,market reserach;sap consultant in mm;project management,business knowledge;analytical skills;finance related skills;problem solving skills;risk management skills;presentation skills,b.tech mechanical engineering market reserach;sap consultant in mm;project management business knowledge;analytical skills;finance related skills;problem solving skills;risk management skills;presentation skills,b.tech mechanical engineering,mechanical engineer
b.tech,electrical and electronics engineering,data analytics,analytical skills;data visualization skills( power bi/ tableau );machine learning skills;social media marketing;r;python;artificial intelligence,b.tech electrical and electronics engineering data analytics analytical skills;data visualization skills( power bi/ tableau );machine learning skills;social media marketing;r;python;artificial intelligence,b.tech electrical and electronics engineering,engineer
b.tech,mechanical engineering,"trading,web designing,content writing,web development,social media marketing",c++;hadoop;java;sql;core java;javascript;pl/sql;informatica,"b.tech mechanical engineering trading,web designing,content writing,web development,social media marketing c++;hadoop;java;sql;core java;javascript;pl/sql;informatica",b.tech mechanical engineering,mechanical engineer
b.com,computer science engineering,financial analysis,accounting skills,b.com computer science engineering financial analysis accounting skills,b.com computer science engineering,software engineer
b.e,accountancy,entrepreneurship,"active listening, python, gathering informing, programming","b.e accountancy entrepreneurship active listening, python, gathering informing, programming",b.e accountancy,accountant
law hons,agriculture,"financial analysis;social causes;information technology;agriculture, services;excel",accounting skills;finance related skills;civil & criminal law;negotiation skills;risk management skills,"law hons agriculture financial analysis;social causes;information technology;agriculture, services;excel accounting skills;finance related skills;civil & criminal law;negotiation skills;risk management skills",law hons agriculture,agricultural officer
b.tech,company law,data analytics,"javascript,python","b.tech company law data analytics javascript,python",b.tech company law,lawyer
b.sc,electrical and electronics engineering,research,subject knowledge,b.sc electrical and electronics engineering research subject knowledge,b.sc electrical and electronics engineering,engineer
b.tech,physics,data analytics,javascript,b.tech physics data analytics javascript,b.tech physics,research scientist
b.tech,computer science engineering,technology,python,b.tech computer science engineering technology python,b.tech computer science engineering,software engineer
b.tech,computer applications,technology;information technology,hardware skills;programming language skills;communication skills;problem solving skills;risk management skills;writing skills;presentation skills;linux;python;java;cloud computing,b.tech computer applications technology;information technology hardware skills;programming language skills;communication skills;problem solving skills;risk management skills;writing skills;presentation skills;linux;python;java;cloud computing,b.tech computer applications,software engineer
b.com,computer science engineering,financial analysis,teamwork;time management;company secretarial work;legal compliance;communication;teamleadership;interpersonal skills;presentations;interpersonal communication;companies act;indirect taxation,b.com computer science engineering financial analysis teamwork;time management;company secretarial work;legal compliance;communication;teamleadership;interpersonal skills;presentations;interpersonal communication;companies act;indirect taxation,b.com computer science engineering,software engineer
b.tech,accounting&finance,teaching;technology;data analytics;govt. job;data scientist;all fields related to data science.;design;machine learning;navy defence related;oil and gas,accounting skills;active listening;critical thinking;analytical skills;people management;communication skills;problem solving skills;python;teaching,b.tech accounting&finance teaching;technology;data analytics;govt. job;data scientist;all fields related to data science.;design;machine learning;navy defence related;oil and gas accounting skills;active listening;critical thinking;analytical skills;people management;communication skills;problem solving skills;python;teaching,b.tech accounting&finance,accountant
bba,electrical machines,financial analysis,financial modeling;financial analysis;,bba electrical machines financial analysis financial modeling;financial analysis;,bba electrical machines,electrical engineer
b.tech,finance,"research,understand human body,biotechnology","microbiology; cell culture ;molecular biology; bioprocess;
katte virus","b.tech finance research,understand human body,biotechnology microbiology; cell culture ;molecular biology; bioprocess;
katte virus",b.tech finance,financial analyst
b.e,biotechnology,data analytics,"analytic thinking, sql, oracle, communication skills, work under pressure, leadership, excel, interpersonal skills, problem solving skills, reporting","b.e biotechnology data analytics analytic thinking, sql, oracle, communication skills, work under pressure, leadership, excel, interpersonal skills, problem solving skills, reporting",b.e biotechnology,other
b.com,automobile engineering,information technology,cloud computing,b.com automobile engineering information technology cloud computing,b.com automobile engineering,automobile engineer
b.com,accountancy,sales/marketing,accounting skills,b.com accountancy sales/marketing accounting skills,b.com accountancy,accountant
b.tech,data structures & algorithm,technology,gathering informing,b.tech data structures & algorithm technology gathering informing,b.tech data structures & algorithm,other
biotechnology,biotechnology,"research, technology, entrepreneurship, understand human body","active listening, critical thinking, analytic thinking, negotiation skills, presentation skills, problem solving skills, writing, observation skills, subject knowledge","biotechnology biotechnology research, technology, entrepreneurship, understand human body active listening, critical thinking, analytic thinking, negotiation skills, presentation skills, problem solving skills, writing, observation skills, subject knowledge",biotechnology biotechnology,other
b.com,commerce,entrepreneurship,"accounting skills, cost accounting, excel, writing","b.com commerce entrepreneurship accounting skills, cost accounting, excel, writing",b.com commerce,accountant
b.com,commerce,take risk for profits,accounting skills,b.com commerce take risk for profits accounting skills,b.com commerce,accountant
b.m.s,managementãš,sales/marketing,"business knowledge, communication skills, negotiation skills, work under pressure, leadership, creativity skills, market study, excel, writing, reading, sales","b.m.s managementãš sales/marketing business knowledge, communication skills, negotiation skills, work under pressure, leadership, creativity skills, market study, excel, writing, reading, sales",b.m.s managementãš,business analyst
